run_dir,run,variant,domain,epochs,best_epoch,best_val_acc,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,best_train_dual_d_identity,best_train_acc_source_like,best_train_dual_d_cycle,best_train_dual_d_adv_primary,best_train_dual_d_contrastive,best_train_dual_d_adv_auxiliary,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_dual_d_prototype_contrastive,best_train_dual_d_classification_feedback
runs/module_c_ablation/module_c_no_cycle_逆光_iter02_20260820_185148,module_c_no_cycle_逆光_iter02_20260820_185148,no_cycle,逆光,39,30.0,1.0,1.0,1.0,0.0,,0.2538496792316437,0.8875,0.3502213716506958,0.8131816744804382,2.7162732124328612,0.43108890056610105,1.6816086053848267,0.9,1.321399450302124,1.9442368030548096
runs/module_c_ablation/module_c_no_cycle_逆光_iter02_20260821_060834,module_c_no_cycle_逆光_iter02_20260821_060834,no_cycle,逆光,34,25.0,1.0,1.0,0.9848484848484849,-0.015151515151515138,runs/module_c_ablation/module_c_no_cycle_逆光_iter02_20260821_060834/feature_embeddings.npz,0.2516025960445404,0.9125,0.34073586463928224,0.829238498210907,2.8769959449768066,1.4048641920089722,1.81566379070282,0.85625,1.4879573345184327,2.054852318763733
runs/module_c_ablation/module_c_no_cycle_逆光_iter03_20260820_185148,module_c_no_cycle_逆光_iter03_20260820_185148,no_cycle,逆光,31,22.0,1.0,1.0,0.9848484848484849,-0.015151515151515138,,0.2532131850719452,0.86875,0.3515560507774353,0.7005999922752381,2.910752058029175,0.7678266763687134,1.8283382654190063,0.8375,1.4945200681686401,2.122005653381348
runs/module_c_ablation/module_c_no_cycle_逆光_iter03_20260821_060834,module_c_no_cycle_逆光_iter03_20260821_060834,no_cycle,逆光,27,18.0,0.972972972972973,0.9840455840455841,0.9696969696969697,-0.003276003276003303,runs/module_c_ablation/module_c_no_cycle_逆光_iter03_20260821_060834/feature_embeddings.npz,0.2541013896465302,0.83125,0.3497575163841248,0.9068174004554749,2.8665678024291994,0.784395158290863,1.9075097560882568,0.8,1.5015589237213134,2.2560827255249025
runs/module_c_ablation/module_c_no_cycle_雨天_iter01_20260820_185148,module_c_no_cycle_雨天_iter01_20260820_185148,no_cycle,雨天,26,26.0,0.8461538461538461,0.8874643874643874,0.875,0.028846153846153855,,0.25691477209329605,0.984375,0.35836566984653473,0.9981748163700104,2.920670986175537,1.0380466282367706,1.6263622045516968,0.921875,1.1419001519680023,1.8155885338783264
runs/module_c_ablation/module_c_no_cycle_雨天_iter01_20260821_060834,module_c_no_cycle_雨天_iter01_20260821_060834,no_cycle,雨天,51,42.0,1.0,1.0,0.9895833333333334,-0.01041666666666663,runs/module_c_ablation/module_c_no_cycle_雨天_iter01_20260821_060834/feature_embeddings.npz,0.2405041679739952,0.9765625,0.3314736410975456,0.7732464969158173,2.73739492893219,0.5250512063503265,1.4979563355445862,0.921875,0.9216881543397903,1.7146104276180267
runs/module_c_ablation/module_c_no_cycle_雨天_iter02_20260821_060834,module_c_no_cycle_雨天_iter02_20260821_060834,no_cycle,雨天,28,19.0,0.6923076923076923,0.7331196581196581,0.78125,0.08894230769230771,runs/module_c_ablation/module_c_no_cycle_雨天_iter02_20260821_060834/feature_embeddings.npz,0.26154621690511703,0.859375,0.3439500704407692,0.5017094016075134,3.0954777598381042,0.7772412598133087,1.7308455109596252,0.8984375,1.3546160757541656,1.985731840133667
runs/module_c_ablation/module_c_no_cycle_雨天_iter03_20260821_060834,module_c_no_cycle_雨天_iter03_20260821_060834,no_cycle,雨天,38,29.0,0.9615384615384616,0.9663299663299664,0.8645833333333334,-0.0969551282051282,runs/module_c_ablation/module_c_no_cycle_雨天_iter03_20260821_060834/feature_embeddings.npz,0.24408791214227676,0.984375,0.33545324951410294,1.0081058740615845,2.938062906265259,0.9119271636009216,1.6049472987651825,0.921875,1.1867199540138245,1.7835125625133514
runs/module_c_ablation/module_c_no_cycle_雾天_iter01_20260821_060834,module_c_no_cycle_雾天_iter01_20260821_060834,no_cycle,雾天,32,24.0,0.9848484848484849,0.983186952248023,0.9861932938856016,0.0013448090371167565,runs/module_c_ablation/module_c_no_cycle_雾天_iter01_20260821_060834/feature_embeddings.npz,0.22893227264285088,0.943359375,0.32425941713154316,0.8442092128098011,2.564500704407692,0.5949818976223469,1.4895976781845093,0.966796875,1.0583983585238457,1.7030597776174545
runs/module_c_ablation/module_c_no_cycle_雾天_iter02_20260821_060834,module_c_no_cycle_雾天_iter02_20260821_060834,no_cycle,雾天,42,33.0,0.9924242424242424,0.9891854177568463,0.9901380670611439,-0.002286175363098497,runs/module_c_ablation/module_c_no_cycle_雾天_iter02_20260821_060834/feature_embeddings.npz,0.21287076827138662,0.9921875,0.30176790431141853,0.4483536686748266,2.319191128015518,0.48597268387675285,1.3509089201688766,0.984375,0.7957359068095684,1.5832698494195938
